,FILM,STARS,RATING,RT_NORM,RT__USER_NORM,META_NORM,META_USER_NORM,IMDB_NORM
76,Still Alice (2015),4.5,4.1,4.4,4.2,3.6,3.9,3.8
77,Seventh Son (2015),3.5,3.2,0.6,1.8,1.5,2.0,2.8
78,Mortdecai (2015),3.5,3.2,0.6,1.5,1.4,1.6,2.8
79,Strange Magic (2015),3.5,3.4,0.8,2.5,1.2,2.6,2.8
80,Inherent Vice (2014),3.0,2.9,3.6,2.6,4.0,3.7,3.4
81,Hot Tub Time Machine 2 (2015),3.5,3.0,0.7,1.4,1.4,1.7,2.6
82,The Gunman (2015),3.5,3.4,0.8,1.7,2.0,2.2,2.9
83,Sinister 2 (2015),3.5,3.3,0.6,1.7,1.6,2.5,2.8
84,Hitman: Agent 47 (2015),4.0,3.9,0.4,2.4,1.4,1.6,3.0
85,Shaun the Sheep Movie (2015),4.5,4.0,5.0,4.1,4.0,4.4,3.7
86,Love & Mercy (2015),4.5,4.0,4.4,4.4,4.0,4.2,3.9
87,Unfinished Business (2015),3.5,3.2,0.6,1.4,1.6,1.9,2.7
88,The Loft (2015),4.0,3.6,0.6,2.0,1.2,1.2,3.2
89,Little Boy (2015),4.5,4.3,1.0,4.0,1.5,3.0,3.7
90,Far From The Madding Crowd (2015),4.5,4.0,4.2,3.8,3.6,3.8,3.6
91,Amy (2015),4.5,4.4,4.8,4.6,4.2,4.4,4.0
92,Monkey Kingdom (2015),4.5,4.2,4.7,3.8,3.6,3.8,3.6
93,A Most Violent Year (2014),3.5,3.4,4.5,3.4,4.0,3.5,3.6
94,American Ultra (2015),4.0,3.7,2.3,2.6,2.5,3.4,3.2
95,Me and Earl and The Dying Girl (2015),4.5,4.3,4.0,4.4,3.7,4.2,4.1
96,True Story (2015),3.5,3.2,2.2,2.0,2.5,2.8,3.2
97,Danny Collins (2015),4.0,4.0,3.8,3.8,2.9,3.6,3.6
98,Cake (2015),3.5,3.4,2.4,2.4,2.4,3.2,3.2
99,Spare Parts (2015),4.5,4.5,2.6,4.2,2.5,3.6,3.6
100,While We're Young (2015),3.0,2.9,4.2,2.6,3.8,3.4,3.2
101,The Water Diviner (2015),4.5,4.0,3.2,3.1,2.5,3.4,3.6
102,Child 44 (2015),4.0,3.7,1.3,2.2,2.0,2.6,3.2
103,Mr. Turner (2014),3.5,3.2,4.9,2.8,4.7,3.3,3.4
104,I'll See You In My Dreams (2015),4.0,3.6,4.7,3.5,3.8,3.4,3.4
105,What We Do in the Shadows (2015),4.5,4.3,4.8,4.3,3.8,4.2,3.8
106,Irrational Man (2015),4.0,3.5,2.1,2.6,2.6,3.8,3.4
107,Wild Tales (2014),4.5,4.1,4.8,4.6,3.8,4.4,4.1
108,Black Sea (2015),4.0,3.5,4.1,3.0,3.1,3.3,3.2
109,The Vatican Tapes (2015),3.0,2.9,0.6,1.0,1.8,2.7,2.3
110,'71 (2015),3.5,3.5,4.8,4.1,4.2,3.8,3.6
111,Clouds of Sils Maria (2015),3.5,3.4,4.4,3.4,3.9,3.6,3.4
112,Testament of Youth (2015),4.0,3.9,4.0,4.0,3.8,4.0,3.6
113,Infinitely Polar Bear (2015),4.0,3.9,4.0,3.8,3.2,4.0,3.6
114,The End of the Tour (2015),4.5,4.1,4.6,4.4,4.2,3.8,4.0
115,"Two Days, One Night (2014)",3.5,3.5,4.8,3.9,4.4,4.4,3.7
116,The Overnight (2015),3.5,3.3,4.1,3.2,3.2,4.3,3.4
117,The Last Five Years (2015),4.5,4.4,3.0,3.0,3.0,3.4,3.0
118,Maggie (2015),3.5,3.3,2.7,1.6,2.6,3.2,2.8
119,The Salt of the Earth (2015),4.5,4.3,4.8,4.5,4.2,3.9,4.2
120,A Little Chaos (2015),4.0,3.9,2.0,2.4,2.6,3.5,3.2
121,5 Flights Up (2015),4.0,3.6,2.6,2.4,2.8,3.4,3.0
122,Timbuktu (2015),4.0,3.6,5.0,3.9,4.6,3.4,3.6
123,Phoenix (2015),3.5,3.4,5.0,4.0,4.6,4.0,3.6
124,Song of the Sea (2014),4.5,4.3,5.0,4.6,4.3,4.1,4.1
125,The Wolfpack (2015),3.5,3.4,4.2,3.6,3.8,3.5,3.6
126,Leviathan (2014),4.0,3.5,5.0,4.0,4.6,3.6,3.8
127,The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),4.0,3.9,3.4,3.4,2.9,2.3,3.6
128,Gett: The Trial of Viviane Amsalem (2015),3.5,3.5,5.0,4.0,4.5,3.6,3.9
129,Welcome to Me (2015),4.0,3.6,3.6,2.4,3.4,3.4,3.0
130,Dark Places (2015),4.0,3.7,1.3,1.6,2.0,4.0,3.2
131,Red Army (2015),4.5,4.1,4.8,4.3,4.1,3.7,3.8
132,The Stanford Prison Experiment (2015),4.0,3.9,4.2,4.4,3.4,4.2,3.6
133,Serena (2015),3.0,3.0,0.9,1.2,1.8,2.6,2.7
134,Escobar: Paradise Lost (2015),4.0,3.9,2.6,2.6,2.8,3.4,3.3
135,When Marnie Was There (2015),4.5,4.1,4.4,4.4,3.6,3.2,3.9
136,Saint Laurent (2015),3.5,3.1,2.6,2.2,2.6,3.4,3.2
137,About Elly (2015),4.0,3.6,4.8,4.3,4.4,4.8,4.1
138,The Hunting Ground (2015),4.5,4.1,4.6,3.6,3.8,3.9,3.8
139,Seymour: An Introduction (2015),4.5,4.2,5.0,4.4,4.2,3.0,3.8
140,"Kumiko, The Treasure Hunter (2015)",3.5,3.5,4.4,3.2,3.4,3.2,3.4
141,The Diary of a Teenage Girl (2015),4.0,3.6,4.8,4.0,4.4,3.2,3.5
142,The Wrecking Crew (2015),4.5,4.2,4.6,4.2,3.4,3.5,3.9
143,Tangerine (2015),4.0,3.9,4.8,4.3,4.3,3.6,3.7
144,Maps to the Stars (2015),3.5,3.1,3.0,2.3,3.4,2.9,3.2
